bucket,title,authors,year,venue,doi,arxiv,url,best_citation_count,supplement_section,claim_supported,supplement_priority,metadata_status,notes
EWS,Indicators of transitions in biological systems,"Clements, C.F., & Ozgul, A.",2018,Nature Ecology & Evolution,10.1038/s41559-018-0716-y,,,39.0,SI EWS,Meta-analysis showing inconsistent AC1/variance performance across taxa and transition types,optional_supplement,verified,Item 10 heading references Dakos et al. (2015) PLOS ONE as alternate; primary citation given is Clements & Ozgul 2018; Dakos 2015 not given a DOI in source; verify manually
Collapse,Suppressing cascades of load-shedding failures in interdependent networks,"Brummitt, C.D.; D'Souza, R.M.; Leicht, E.A.",2012,Proceedings of the National Academy of Sciences,10.1073/pnas.1110586109,,,562.0,SI Collapse / Theory,Shows that adding interconnections can increase systemic fragility; supports recursive collapse as structural not additive,optional_supplement,verified,"clarified from ambiguous source item; heading mentioned alternates, but full citation identified Brummitt et al. 2012 as the primary candidate"
Recommenders,Recommendations as treatments: Debiasing learning and evaluation,"Schnabel, T., Swaminathan, A., Singh, A., Chandak, N., & Joachims, T.",2016,ICML,,1602.05352,,143.0,SI Recommenders,Establishes the causal inference framing explaining why feedback loops corrupt training data; the warning criterion operates on this corrupted signal,primary_supplement,verified,
Recommenders,Do offline metrics predict online performance in recommender systems?,"Krauth, K., Dean, S., Brown, A., Ding, Z., Kannan, S., Recht, B., & McAuley, J.",2020,NeurIPS Workshop,,2011.07931,,11.0,SI Recommenders,Shows offline metrics fail to predict online outcomes under feedback loops; supports need for in-loop criterion,optional_supplement,verified,workshop paper; verify if published beyond workshop
Markets,Procyclical leverage and endogenous risk,"Danielsson, J., Shin, H.S., & Zigrand, J.-P.",2012,LSE / NBER,,,https://www.nber.org/system/files/chapters/c12054/revisions/c12054.rev1.pdf,39.0,SI Markets,"Formalizes endogenous risk mechanism by which VIX spike events are self-amplifying feedback, not exogenous shocks",primary_supplement,verified,working paper / NBER chapter; not peer-reviewed journal article; verify final publication status
Formal-Lean,The Lean Theorem Prover (System Description),"de Moura, L., Kong, S., Avigad, J., van Doorn, F., & von Raumer, J.",2015,CADE-25,10.1007/978-3-319-21401-6_26,,,383.0,SI Formal Verification,Primary citation establishing Lean's trust-minimizing kernel; machine-checkable verification not heuristic validation,primary_supplement,verified,Lean 3 system description; required alongside Lean 4 citation
Formal-Lean,Formal proof — the four-color theorem,"Gonthier, G.",2008,Notices of the American Mathematical Society,,,,303.0,SI Formal Verification,Historical anchor: kernel-verified proofs accepted as legitimate mathematical proofs by the mathematics community,primary_supplement,verified,no DOI provided in source; Notices AMS vol. 55 no. 11 pp. 1382-1393; verify manually
Formal-Lean,Completion of the Liquid Tensor Experiment,"Commelin, J., et al. (Lean community formalization)",2022,Lean Community Blog,,,https://leanprover-community.github.io/blog/posts/lte-final/,,SI Formal Verification,Highest-profile example of Lean-verified frontier mathematics; proof-of-concept for skeptical reviewers,optional_supplement,verified,blog post / community artifact; not peer-reviewed journal; initiated by Scholze 2020 Xena Project blog | Clear unrelated physics DOI/citation match; verify manually if citing.
Formal-Lean,Formalising mathematics: An experiment,"Buzzard, K.",2022,Bulletin of the London Mathematical Society,10.1112/blms.12587,,,6.0,SI Formal Verification,Perspective of a working mathematician using Lean for research-level formalization; frames the obstruction to a math audience,optional_supplement,verified,"item 10 lists two papers: Buzzard et al. (2020) Schemes in Lean, Experimental Mathematics, DOI 10.1080/10586458.2019.1700299; and Buzzard (2022) Bull. LMS listed here as primary; verify which to cite"
AI-Agentic,Cooperative inverse reinforcement learning,"Hadfield-Menell, D., Milli, S., Abbeel, P., Russell, S., & Dragan, A.",2016,NeurIPS,,1606.03137,,322.0,SI AI-Agentic Future,Supports framing that recursive no-progress is consequence of objective misalignment; motivates theorem-guided over statistical heuristic,optional_supplement,verified,
Missing-Clusters,Is model collapse inevitable? Breaking the curse of recursion by accumulating real and synthetic data,"Gerstgrasser, M., Bommasani, R., Liang, P., et al.",2024,arXiv,,2404.01413,,12.0,SI Discussion,Proves model collapse avoidable only with fresh data injection; formalizes the no-progress condition mathematically,optional_supplement,verified,Cluster 3: Model Collapse in Recursive Generative Systems; preprint; verify if peer-reviewed version available
Missing-Clusters,A tale of tails: Model collapse as a change of scaling laws,"Dohmatob, E., Feng, Y., Yang, P., Charton, F., & Kempe, J.",2024,ICML,,2402.07043,,4.0,SI Discussion,"Provides scaling-law characterization of collapse boundary; potentially relevant to G, p, delta parameterization",optional_supplement,verified,Cluster 3: Model Collapse in Recursive Generative Systems; ICML 2024
Missing-Clusters,Nonlinear Dynamics and Chaos,"Strogatz, S.H.",2018,Westview Press / CRC Press,,,,4528.0,SI Theory,"Canonical pedagogical reference for bifurcations, fixed-point analysis, and attractor theory underlying the no-progress obstruction",primary_supplement,verified,Cluster 4: Dynamical Systems Theory; book; 2nd ed. 2015/2018; no DOI; verify manually
Missing-Clusters,Introduction to Applied Nonlinear Dynamical Systems and Chaos,"Wiggins, S.",1990,Springer,10.1007/978-1-4757-4067-7,,,2792.0,SI Supplement,Standard reference for invariant manifolds and basins of attraction underlying viable state space language,optional_supplement,verified,Cluster 4: Dynamical Systems Theory; book
Missing-Clusters,Why most published research findings are false,"Ioannidis, J.P.A.",2005,PLOS Medicine,10.1371/journal.pmed.0020124,,,10403.0,SI Discussion,Provides scientific motivation for why a formally verified result offers stronger guarantees than peer review alone,optional_supplement,verified,Cluster 8: Reproducibility Crisis and Formal Verification
Missing-Clusters,Estimating the reproducibility of psychological science,Open Science Collaboration,2015,Science,10.1126/science.aac4716,,,8591.0,SI Discussion,Empirical demonstration of the replication crisis; establishes the problem Lean verification directly addresses,optional_supplement,verified,Cluster 8: Reproducibility Crisis and Formal Verification
